DateTime,Pressure (Pa),MSLP (Pa)
01-Feb-2017 05:00:00,102123.307741,102323.307741
01-Feb-2017 05:05:00,102122.178945,102322.178945
01-Feb-2017 05:10:00,102110.890985,102310.890985
01-Feb-2017 05:15:00,102102.989412,102302.989412
01-Feb-2017 05:20:00,102098.474228,102298.474228
01-Feb-2017 05:25:00,102097.345432,102297.345432
01-Feb-2017 05:30:00,102096.216636,102296.216636
01-Feb-2017 05:35:00,102088.315063,102288.315063
01-Feb-2017 05:40:00,102083.799879,102283.799879
01-Feb-2017 05:45:00,102074.769511,102274.769511
01-Feb-2017 05:50:00,102070.254327,102270.254327
01-Feb-2017 05:55:00,102070.254327,102270.254327
01-Feb-2017 06:00:00,102070.254327,102270.254327
01-Feb-2017 06:05:00,102072.511919,102272.511919
01-Feb-2017 06:10:00,102075.898307,102275.898307
01-Feb-2017 06:15:00,102077.027103,102277.027103
01-Feb-2017 06:20:00,102077.027103,102277.027103
01-Feb-2017 06:25:00,102073.640715,102273.640715
01-Feb-2017 06:30:00,102067.996735,102267.996735
01-Feb-2017 06:35:00,102064.610346,102264.610346
01-Feb-2017 06:40:00,102057.837570,102257.837570
01-Feb-2017 06:45:00,102056.708774,102256.708774
01-Feb-2017 06:50:00,102056.708774,102256.708774
01-Feb-2017 06:55:00,102053.322386,102253.322386
01-Feb-2017 07:00:00,102056.708774,102256.708774
01-Feb-2017 07:05:00,102051.064794,102251.064794
01-Feb-2017 07:10:00,102044.292017,102244.292017
01-Feb-2017 07:15:00,102040.905629,102240.905629
01-Feb-2017 07:20:00,102043.163221,102243.163221
01-Feb-2017 07:25:00,102030.746465,102230.746465
01-Feb-2017 07:30:00,102030.746465,102230.746465
01-Feb-2017 07:35:00,102014.943320,102214.943320
01-Feb-2017 07:40:00,102017.200912,102217.200912
01-Feb-2017 07:45:00,102017.200912,102217.200912
01-Feb-2017 07:50:00,102028.488873,102228.488873
01-Feb-2017 07:55:00,102029.617669,102229.617669
01-Feb-2017 08:00:00,102023.973688,102223.973688
01-Feb-2017 08:05:00,102023.973688,102223.973688
01-Feb-2017 08:10:00,102033.004057,102233.004057
01-Feb-2017 08:15:00,102037.519241,102237.519241
01-Feb-2017 08:20:00,102039.776833,102239.776833
01-Feb-2017 08:25:00,102039.776833,102239.776833
01-Feb-2017 08:30:00,102036.390445,102236.390445
01-Feb-2017 08:35:00,102030.746465,102230.746465
01-Feb-2017 08:40:00,102033.004057,102233.004057
01-Feb-2017 08:45:00,102037.519241,102237.519241
01-Feb-2017 08:50:00,102040.905629,102240.905629
01-Feb-2017 08:55:00,102039.776833,102239.776833
01-Feb-2017 09:00:00,102046.549609,102246.549609
01-Feb-2017 09:05:00,102049.935998,102249.935998
01-Feb-2017 09:10:00,102054.451182,102254.451182
01-Feb-2017 09:15:00,102044.292017,102244.292017
