DateTime,Pressure (Pa),MSLP (Pa)
01-Apr-2017 05:00:00,101212.369326,101412.369326
01-Apr-2017 05:05:00,101221.399695,101421.399695
01-Apr-2017 05:10:00,101221.399695,101421.399695
01-Apr-2017 05:15:00,101215.755714,101415.755714
01-Apr-2017 05:20:00,101228.172471,101428.172471
01-Apr-2017 05:25:00,101230.430063,101430.430063
01-Apr-2017 05:30:00,101224.786083,101424.786083
01-Apr-2017 05:35:00,101224.786083,101424.786083
01-Apr-2017 05:40:00,101229.301267,101429.301267
01-Apr-2017 05:45:00,101223.657287,101423.657287
01-Apr-2017 05:50:00,101215.755714,101415.755714
01-Apr-2017 05:55:00,101222.528491,101422.528491
01-Apr-2017 06:00:00,101225.914879,101425.914879
01-Apr-2017 06:05:00,101231.558859,101431.558859
01-Apr-2017 06:10:00,101239.460431,101439.460431
01-Apr-2017 06:15:00,101253.005984,101453.005984
01-Apr-2017 06:20:00,101256.392372,101456.392372
01-Apr-2017 06:25:00,101262.036352,101462.036352
01-Apr-2017 06:30:00,101258.649964,101458.649964
01-Apr-2017 06:35:00,101251.877188,101451.877188
01-Apr-2017 06:40:00,101249.619596,101449.619596
01-Apr-2017 06:45:00,101248.490800,101448.490800
01-Apr-2017 06:50:00,101241.718023,101441.718023
01-Apr-2017 06:55:00,101241.718023,101441.718023
01-Apr-2017 07:00:00,101255.263576,101455.263576
01-Apr-2017 07:05:00,101255.263576,101455.263576
01-Apr-2017 07:10:00,101256.392372,101456.392372
01-Apr-2017 07:15:00,101254.134780,101454.134780
01-Apr-2017 07:20:00,101255.263576,101455.263576
01-Apr-2017 07:25:00,101266.551537,101466.551537
01-Apr-2017 07:30:00,101266.551537,101466.551537
01-Apr-2017 07:35:00,101262.036352,101462.036352
01-Apr-2017 07:40:00,101265.422741,101465.422741
01-Apr-2017 07:45:00,101266.551537,101466.551537
01-Apr-2017 07:50:00,101268.809129,101468.809129
01-Apr-2017 07:55:00,101273.324313,101473.324313
01-Apr-2017 08:00:00,101276.710701,101476.710701
01-Apr-2017 08:05:00,101280.097089,101480.097089
01-Apr-2017 08:10:00,101283.483477,101483.483477
01-Apr-2017 08:15:00,101285.741070,101485.741070
01-Apr-2017 08:20:00,101289.127458,101489.127458
01-Apr-2017 08:25:00,101286.869866,101486.869866
01-Apr-2017 08:30:00,101283.483477,101483.483477
01-Apr-2017 08:35:00,101280.097089,101480.097089
01-Apr-2017 08:40:00,101290.256254,101490.256254
01-Apr-2017 08:45:00,101293.642642,101493.642642
01-Apr-2017 08:50:00,101299.286622,101499.286622
01-Apr-2017 08:55:00,101302.673010,101502.673010
01-Apr-2017 09:00:00,101309.445787,101509.445787
01-Apr-2017 09:05:00,101306.059399,101506.059399
01-Apr-2017 09:10:00,101307.188195,101507.188195
01-Apr-2017 09:15:00,101316.218563,101516.218563
01-Apr-2017 09:20:00,101324.120135,101524.120135
01-Apr-2017 09:25:00,101326.377727,101526.377727
01-Apr-2017 09:30:00,101326.377727,101526.377727
01-Apr-2017 09:35:00,101329.764116,101529.764116
01-Apr-2017 09:40:00,101330.892912,101530.892912
01-Apr-2017 09:45:00,101330.892912,101530.892912
01-Apr-2017 09:50:00,101326.377727,101526.377727
01-Apr-2017 09:55:00,101333.150504,101533.150504
01-Apr-2017 10:00:00,101337.665688,101537.665688
01-Apr-2017 10:05:00,101343.309668,101543.309668
01-Apr-2017 10:10:00,101339.923280,101539.923280
01-Apr-2017 10:15:00,101344.438464,101544.438464
01-Apr-2017 10:20:00,101361.370405,101561.370405
01-Apr-2017 10:25:00,101364.756793,101564.756793
01-Apr-2017 10:30:00,101373.787162,101573.787162
01-Apr-2017 10:35:00,101383.946326,101583.946326
01-Apr-2017 10:40:00,101394.105491,101594.105491
01-Apr-2017 10:45:00,101394.105491,101594.105491
01-Apr-2017 10:50:00,101386.203918,101586.203918
01-Apr-2017 10:55:00,101377.173550,101577.173550
01-Apr-2017 11:00:00,101390.719103,101590.719103
