DateTime,Pressure (Pa),MSLP (Pa)
01-Sep-2016 05:00:00,101343.309668,101543.309668
01-Sep-2016 05:05:00,101343.309668,101543.309668
01-Sep-2016 05:10:00,101316.218563,101516.218563
01-Sep-2016 05:15:00,101306.059399,101506.059399
01-Sep-2016 05:20:00,101289.127458,101489.127458
01-Sep-2016 05:25:00,101277.839497,101477.839497
01-Sep-2016 05:30:00,101282.354681,101482.354681
01-Sep-2016 05:35:00,101282.354681,101482.354681
01-Sep-2016 05:40:00,101273.324313,101473.324313
01-Sep-2016 05:45:00,101275.581905,101475.581905
01-Sep-2016 05:50:00,101271.066721,101471.066721
01-Sep-2016 05:55:00,101268.809129,101468.809129
01-Sep-2016 06:00:00,101262.036352,101462.036352
01-Sep-2016 06:05:00,101251.877188,101451.877188
01-Sep-2016 06:10:00,999999,999999
01-Sep-2016 06:15:00,999999,999999
01-Sep-2016 06:20:00,999999,999999
01-Sep-2016 06:25:00,999999,999999
01-Sep-2016 06:30:00,999999,999999
01-Sep-2016 06:35:00,999999,999999
01-Sep-2016 06:40:00,999999,999999
01-Sep-2016 06:45:00,999999,999999
01-Sep-2016 06:50:00,999999,999999
01-Sep-2016 06:55:00,999999,999999
01-Sep-2016 07:00:00,101166.088688,101366.088688
01-Sep-2016 07:05:00,101153.671931,101353.671931
01-Sep-2016 07:10:00,101144.641563,101344.641563
01-Sep-2016 07:15:00,101141.255175,101341.255175
01-Sep-2016 07:20:00,101140.126379,101340.126379
01-Sep-2016 07:25:00,101133.353602,101333.353602
01-Sep-2016 07:30:00,101123.194438,101323.194438
01-Sep-2016 07:35:00,101115.292865,101315.292865
01-Sep-2016 07:40:00,101102.876109,101302.876109
01-Sep-2016 07:45:00,101096.103333,101296.103333
01-Sep-2016 07:50:00,101091.588148,101291.588148
01-Sep-2016 07:55:00,101084.815372,101284.815372
01-Sep-2016 08:00:00,101079.171392,101279.171392
01-Sep-2016 08:05:00,101076.913800,101276.913800
01-Sep-2016 08:10:00,101076.913800,101276.913800
01-Sep-2016 08:15:00,101072.398615,101272.398615
01-Sep-2016 08:20:00,101072.398615,101272.398615
01-Sep-2016 08:25:00,101069.012227,101269.012227
01-Sep-2016 08:30:00,101062.239451,101262.239451
01-Sep-2016 08:35:00,101058.853063,101258.853063
01-Sep-2016 08:40:00,101052.080287,101252.080287
01-Sep-2016 08:45:00,101052.080287,101252.080287
01-Sep-2016 08:50:00,101045.307510,101245.307510
01-Sep-2016 08:55:00,101041.921122,101241.921122
01-Sep-2016 09:00:00,101041.921122,101241.921122
01-Sep-2016 09:05:00,101040.792326,101240.792326
01-Sep-2016 09:10:00,101050.951490,101250.951490
01-Sep-2016 09:15:00,101058.853063,101258.853063
01-Sep-2016 09:20:00,101061.110655,101261.110655
01-Sep-2016 09:25:00,101066.754635,101266.754635
01-Sep-2016 09:30:00,101072.398615,101272.398615
01-Sep-2016 09:35:00,101079.171392,101279.171392
01-Sep-2016 09:40:00,101089.330556,101289.330556
01-Sep-2016 09:45:00,101091.588148,101291.588148
01-Sep-2016 09:50:00,101093.845740,101293.845740
01-Sep-2016 09:55:00,101092.716944,101292.716944
01-Sep-2016 10:00:00,101092.716944,101292.716944
01-Sep-2016 10:05:00,101089.330556,101289.330556
01-Sep-2016 10:10:00,101085.944168,101285.944168
01-Sep-2016 10:15:00,101089.330556,101289.330556
01-Sep-2016 10:20:00,101089.330556,101289.330556
01-Sep-2016 10:25:00,101092.716944,101292.716944
01-Sep-2016 10:30:00,101094.974537,101294.974537
01-Sep-2016 10:35:00,101096.103333,101296.103333
01-Sep-2016 10:40:00,101093.845740,101293.845740
01-Sep-2016 10:45:00,101096.103333,101296.103333
01-Sep-2016 10:50:00,101099.489721,101299.489721
01-Sep-2016 10:55:00,101106.262497,101306.262497
01-Sep-2016 11:00:00,101106.262497,101306.262497
01-Sep-2016 11:05:00,101108.520089,101308.520089
01-Sep-2016 11:10:00,101109.648885,101309.648885
01-Sep-2016 11:15:00,101106.262497,101306.262497
01-Sep-2016 11:20:00,101109.648885,101309.648885
01-Sep-2016 11:25:00,101116.421662,101316.421662
01-Sep-2016 11:30:00,101116.421662,101316.421662
01-Sep-2016 11:35:00,101119.808050,101319.808050
01-Sep-2016 11:40:00,101125.452030,101325.452030
01-Sep-2016 11:45:00,101122.065642,101322.065642
01-Sep-2016 11:50:00,101123.194438,101323.194438
01-Sep-2016 11:55:00,101129.967214,101329.967214
01-Sep-2016 12:00:00,101136.739991,101336.739991
01-Sep-2016 12:05:00,101136.739991,101336.739991
01-Sep-2016 12:10:00,101152.543135,101352.543135
01-Sep-2016 12:15:00,101163.831096,101363.831096
01-Sep-2016 12:20:00,101167.217484,101367.217484
01-Sep-2016 12:25:00,101163.831096,101363.831096
01-Sep-2016 12:30:00,101169.475076,101369.475076
01-Sep-2016 12:35:00,101164.959892,101364.959892
01-Sep-2016 12:40:00,101169.475076,101369.475076
01-Sep-2016 12:45:00,101170.603872,101370.603872
01-Sep-2016 12:50:00,101173.990260,101373.990260
01-Sep-2016 12:55:00,101177.376648,101377.376648
01-Sep-2016 13:00:00,101177.376648,101377.376648
01-Sep-2016 13:05:00,101172.861464,101372.861464
01-Sep-2016 13:10:00,101168.346280,101368.346280
01-Sep-2016 13:15:00,101172.861464,101372.861464
01-Sep-2016 13:20:00,101179.634241,101379.634241
01-Sep-2016 13:25:00,101180.763037,101380.763037
