DateTime,Pressure (Pa),MSLP (Pa)
01-May-2017 05:00:00,101677.433300,101877.433300
01-May-2017 05:05:00,101685.334872,101885.334872
01-May-2017 05:10:00,101687.592465,101887.592465
01-May-2017 05:15:00,101684.206076,101884.206076
01-May-2017 05:20:00,101678.562096,101878.562096
01-May-2017 05:25:00,101680.819688,101880.819688
01-May-2017 05:30:00,101680.819688,101880.819688
01-May-2017 05:35:00,101669.531728,101869.531728
01-May-2017 05:40:00,101653.728583,101853.728583
01-May-2017 05:45:00,101640.183030,101840.183030
01-May-2017 05:50:00,101644.698215,101844.698215
01-May-2017 05:55:00,101657.114971,101857.114971
01-May-2017 06:00:00,101663.887747,101863.887747
01-May-2017 06:05:00,101665.016543,101865.016543
01-May-2017 06:10:00,101659.372563,101859.372563
01-May-2017 06:15:00,101658.243767,101858.243767
01-May-2017 06:20:00,101646.955807,101846.955807
01-May-2017 06:25:00,101644.698215,101844.698215
01-May-2017 06:30:00,101643.569418,101843.569418
01-May-2017 06:35:00,101643.569418,101843.569418
01-May-2017 06:40:00,101634.539050,101834.539050
01-May-2017 06:45:00,101630.023866,101830.023866
01-May-2017 06:50:00,101633.410254,101833.410254
01-May-2017 06:55:00,101619.864701,101819.864701
01-May-2017 07:00:00,101616.478313,101816.478313
01-May-2017 07:05:00,101626.637478,101826.637478
01-May-2017 07:10:00,101623.251089,101823.251089
01-May-2017 07:15:00,101613.091925,101813.091925
01-May-2017 07:20:00,101609.705537,101809.705537
01-May-2017 07:25:00,101609.705537,101809.705537
01-May-2017 07:30:00,101600.675168,101800.675168
01-May-2017 07:35:00,101602.932761,101802.932761
01-May-2017 07:40:00,101606.319149,101806.319149
01-May-2017 07:45:00,101596.159984,101796.159984
01-May-2017 07:50:00,101586.000820,101786.000820
01-May-2017 07:55:00,101589.387208,101789.387208
01-May-2017 08:00:00,101582.614432,101782.614432
01-May-2017 08:05:00,101572.455267,101772.455267
01-May-2017 08:10:00,101576.970451,101776.970451
01-May-2017 08:15:00,101579.228043,101779.228043
