DateTime,Pressure (Pa),MSLP (Pa)
01-Mar-2015 05:00:00,102533.060708,102733.060708
01-Mar-2015 05:05:00,102538.704689,102738.704689
01-Mar-2015 05:10:00,102528.545524,102728.545524
01-Mar-2015 05:15:00,102521.772748,102721.772748
01-Mar-2015 05:20:00,102504.840807,102704.840807
01-Mar-2015 05:25:00,102504.840807,102704.840807
01-Mar-2015 05:30:00,102504.840807,102704.840807
01-Mar-2015 05:35:00,102504.840807,102704.840807
01-Mar-2015 05:40:00,102501.454419,102701.454419
01-Mar-2015 05:45:00,102496.939235,102696.939235
01-Mar-2015 05:50:00,102494.681643,102694.681643
01-Mar-2015 05:55:00,102492.424051,102692.424051
01-Mar-2015 06:00:00,102491.295255,102691.295255
01-Mar-2015 06:05:00,102487.908866,102687.908866
01-Mar-2015 06:10:00,102486.780070,102686.780070
01-Mar-2015 06:15:00,102481.136090,102681.136090
01-Mar-2015 06:20:00,102475.492110,102675.492110
01-Mar-2015 06:25:00,102470.976926,102670.976926
01-Mar-2015 06:30:00,102467.590537,102667.590537
01-Mar-2015 06:35:00,102460.817761,102660.817761
01-Mar-2015 06:40:00,102457.431373,102657.431373
01-Mar-2015 06:45:00,102460.817761,102660.817761
01-Mar-2015 06:50:00,102454.044985,102654.044985
01-Mar-2015 06:55:00,102447.272208,102647.272208
01-Mar-2015 07:00:00,102435.984248,102635.984248
01-Mar-2015 07:05:00,102430.340268,102630.340268
01-Mar-2015 07:10:00,102424.696287,102624.696287
01-Mar-2015 07:15:00,102423.567491,102623.567491
01-Mar-2015 07:20:00,102425.825083,102625.825083
01-Mar-2015 07:25:00,102430.340268,102630.340268
01-Mar-2015 07:30:00,102431.469064,102631.469064
01-Mar-2015 07:35:00,102428.082676,102628.082676
01-Mar-2015 07:40:00,102423.567491,102623.567491
01-Mar-2015 07:45:00,102420.181103,102620.181103
01-Mar-2015 07:50:00,102413.408327,102613.408327
01-Mar-2015 07:55:00,102406.635551,102606.635551
01-Mar-2015 08:00:00,102399.862774,102599.862774
01-Mar-2015 08:05:00,102393.089998,102593.089998
01-Mar-2015 08:10:00,102389.703610,102589.703610
01-Mar-2015 08:15:00,102385.188425,102585.188425
01-Mar-2015 08:20:00,102390.832406,102590.832406
01-Mar-2015 08:25:00,102393.089998,102593.089998
01-Mar-2015 08:30:00,102393.089998,102593.089998
01-Mar-2015 08:35:00,102396.476386,102596.476386
01-Mar-2015 08:40:00,102393.089998,102593.089998
01-Mar-2015 08:45:00,102387.446018,102587.446018
01-Mar-2015 08:50:00,102386.317222,102586.317222
01-Mar-2015 08:55:00,102382.930833,102582.930833
01-Mar-2015 09:00:00,102379.544445,102579.544445
01-Mar-2015 09:05:00,102377.286853,102577.286853
01-Mar-2015 09:10:00,102370.514077,102570.514077
01-Mar-2015 09:15:00,102376.158057,102576.158057
01-Mar-2015 09:20:00,102377.286853,102577.286853
01-Mar-2015 09:25:00,102377.286853,102577.286853
01-Mar-2015 09:30:00,102377.286853,102577.286853
01-Mar-2015 09:35:00,102385.188425,102585.188425
01-Mar-2015 09:40:00,102389.703610,102589.703610
01-Mar-2015 09:45:00,102396.476386,102596.476386
01-Mar-2015 09:50:00,102399.862774,102599.862774
01-Mar-2015 09:55:00,102400.991570,102600.991570
01-Mar-2015 10:00:00,102399.862774,102599.862774
01-Mar-2015 10:05:00,102403.249162,102603.249162
01-Mar-2015 10:10:00,102411.150735,102611.150735
01-Mar-2015 10:15:00,102410.021939,102610.021939
01-Mar-2015 10:20:00,102410.021939,102610.021939
01-Mar-2015 10:25:00,102415.665919,102615.665919
01-Mar-2015 10:30:00,102413.408327,102613.408327
