DateTime,Pressure (Pa),MSLP (Pa)
01-Dec-2016 05:00:00,101294.771438,101494.771438
01-Dec-2016 05:05:00,101291.385050,101491.385050
01-Dec-2016 05:10:00,101287.998662,101487.998662
01-Dec-2016 05:15:00,101281.225885,101481.225885
01-Dec-2016 05:20:00,101281.225885,101481.225885
01-Dec-2016 05:25:00,101284.612273,101484.612273
01-Dec-2016 05:30:00,101284.612273,101484.612273
01-Dec-2016 05:35:00,101281.225885,101481.225885
01-Dec-2016 05:40:00,101273.324313,101473.324313
01-Dec-2016 05:45:00,101276.710701,101476.710701
01-Dec-2016 05:50:00,101281.225885,101481.225885
01-Dec-2016 05:55:00,101282.354681,101482.354681
01-Dec-2016 06:00:00,101283.483477,101483.483477
01-Dec-2016 06:05:00,101280.097089,101480.097089
01-Dec-2016 06:10:00,101274.453109,101474.453109
01-Dec-2016 06:15:00,101273.324313,101473.324313
01-Dec-2016 06:20:00,101269.937925,101469.937925
01-Dec-2016 06:25:00,101267.680333,101467.680333
01-Dec-2016 06:30:00,101267.680333,101467.680333
01-Dec-2016 06:35:00,101264.293945,101464.293945
01-Dec-2016 06:40:00,101260.907556,101460.907556
01-Dec-2016 06:45:00,101260.907556,101460.907556
01-Dec-2016 06:50:00,101260.907556,101460.907556
01-Dec-2016 06:55:00,101257.521168,101457.521168
01-Dec-2016 07:00:00,101256.392372,101456.392372
01-Dec-2016 07:05:00,101250.748392,101450.748392
01-Dec-2016 07:10:00,101250.748392,101450.748392
01-Dec-2016 07:15:00,101254.134780,101454.134780
01-Dec-2016 07:20:00,101250.748392,101450.748392
01-Dec-2016 07:25:00,101251.877188,101451.877188
01-Dec-2016 07:30:00,101253.005984,101453.005984
01-Dec-2016 07:35:00,101250.748392,101450.748392
01-Dec-2016 07:40:00,101250.748392,101450.748392
01-Dec-2016 07:45:00,101250.748392,101450.748392
01-Dec-2016 07:50:00,101247.362004,101447.362004
01-Dec-2016 07:55:00,101246.233208,101446.233208
01-Dec-2016 08:00:00,101247.362004,101447.362004
01-Dec-2016 08:05:00,101247.362004,101447.362004
01-Dec-2016 08:10:00,101243.975616,101443.975616
01-Dec-2016 08:15:00,101245.104412,101445.104412
01-Dec-2016 08:20:00,101243.975616,101443.975616
01-Dec-2016 08:25:00,101243.975616,101443.975616
01-Dec-2016 08:30:00,101243.975616,101443.975616
01-Dec-2016 08:35:00,101243.975616,101443.975616
01-Dec-2016 08:40:00,101243.975616,101443.975616
01-Dec-2016 08:45:00,101240.589227,101440.589227
01-Dec-2016 08:50:00,101237.202839,101437.202839
01-Dec-2016 08:55:00,101240.589227,101440.589227
01-Dec-2016 09:00:00,101234.945247,101434.945247
01-Dec-2016 09:05:00,101233.816451,101433.816451
01-Dec-2016 09:10:00,101233.816451,101433.816451
01-Dec-2016 09:15:00,101237.202839,101437.202839
01-Dec-2016 09:20:00,101240.589227,101440.589227
01-Dec-2016 09:25:00,101247.362004,101447.362004
01-Dec-2016 09:30:00,101247.362004,101447.362004
01-Dec-2016 09:35:00,101249.619596,101449.619596
01-Dec-2016 09:40:00,101253.005984,101453.005984
01-Dec-2016 09:45:00,101257.521168,101457.521168
01-Dec-2016 09:50:00,101257.521168,101457.521168
01-Dec-2016 09:55:00,101253.005984,101453.005984
01-Dec-2016 10:00:00,101248.490800,101448.490800
01-Dec-2016 10:05:00,101254.134780,101454.134780
01-Dec-2016 10:10:00,101257.521168,101457.521168
01-Dec-2016 10:15:00,101260.907556,101460.907556
01-Dec-2016 10:20:00,101265.422741,101465.422741
01-Dec-2016 10:25:00,101267.680333,101467.680333
01-Dec-2016 10:30:00,101264.293945,101464.293945
01-Dec-2016 10:35:00,101267.680333,101467.680333
01-Dec-2016 10:40:00,101274.453109,101474.453109
01-Dec-2016 10:45:00,101284.612273,101484.612273
01-Dec-2016 10:50:00,101287.998662,101487.998662
01-Dec-2016 10:55:00,101291.385050,101491.385050
01-Dec-2016 11:00:00,101291.385050,101491.385050
01-Dec-2016 11:05:00,101293.642642,101493.642642
01-Dec-2016 11:10:00,101291.385050,101491.385050
01-Dec-2016 11:15:00,101294.771438,101494.771438
01-Dec-2016 11:20:00,101298.157826,101498.157826
01-Dec-2016 11:25:00,101302.673010,101502.673010
01-Dec-2016 11:30:00,101308.316991,101508.316991
01-Dec-2016 11:35:00,101311.703379,101511.703379
01-Dec-2016 11:40:00,101317.347359,101517.347359
01-Dec-2016 11:45:00,101321.862543,101521.862543
01-Dec-2016 11:50:00,101327.506524,101527.506524
01-Dec-2016 11:55:00,101329.764116,101529.764116
01-Dec-2016 12:00:00,101328.635320,101528.635320
01-Dec-2016 12:05:00,101330.892912,101530.892912
01-Dec-2016 12:10:00,101332.021708,101532.021708
01-Dec-2016 12:15:00,101327.506524,101527.506524
01-Dec-2016 12:20:00,101333.150504,101533.150504
01-Dec-2016 12:25:00,101338.794484,101538.794484
01-Dec-2016 12:30:00,101345.567260,101545.567260
01-Dec-2016 12:35:00,101352.340037,101552.340037
01-Dec-2016 12:40:00,101357.984017,101557.984017
01-Dec-2016 12:45:00,101362.499201,101562.499201
01-Dec-2016 12:50:00,101364.756793,101564.756793
01-Dec-2016 12:55:00,101362.499201,101562.499201
01-Dec-2016 13:00:00,101361.370405,101561.370405
01-Dec-2016 13:05:00,101362.499201,101562.499201
01-Dec-2016 13:10:00,101365.885589,101565.885589
01-Dec-2016 13:15:00,101369.271977,101569.271977
01-Dec-2016 13:20:00,101369.271977,101569.271977
01-Dec-2016 13:25:00,101368.143181,101568.143181
01-Dec-2016 13:30:00,101365.885589,101565.885589
01-Dec-2016 13:35:00,101365.885589,101565.885589
01-Dec-2016 13:40:00,101370.400774,101570.400774
01-Dec-2016 13:45:00,101379.431142,101579.431142
01-Dec-2016 13:50:00,101385.075122,101585.075122
01-Dec-2016 13:55:00,101386.203918,101586.203918
01-Dec-2016 14:00:00,101386.203918,101586.203918
01-Dec-2016 14:05:00,101389.590306,101589.590306
01-Dec-2016 14:10:00,101391.847899,101591.847899
01-Dec-2016 14:15:00,101392.976695,101592.976695
01-Dec-2016 14:20:00,101389.590306,101589.590306
01-Dec-2016 14:25:00,101395.234287,101595.234287
01-Dec-2016 14:30:00,101389.590306,101589.590306
01-Dec-2016 14:35:00,101394.105491,101594.105491
01-Dec-2016 14:40:00,101396.363083,101596.363083
01-Dec-2016 14:45:00,101391.847899,101591.847899
01-Dec-2016 14:50:00,101389.590306,101589.590306
01-Dec-2016 14:55:00,101386.203918,101586.203918
01-Dec-2016 15:00:00,101378.302346,101578.302346
01-Dec-2016 15:05:00,101379.431142,101579.431142
01-Dec-2016 15:10:00,101374.915958,101574.915958
01-Dec-2016 15:15:00,101388.461510,101588.461510
01-Dec-2016 15:20:00,101376.044754,101576.044754
01-Dec-2016 15:25:00,101376.044754,101576.044754
01-Dec-2016 15:30:00,101372.658366,101572.658366
01-Dec-2016 15:35:00,101369.271977,101569.271977
01-Dec-2016 15:40:00,101365.885589,101565.885589
01-Dec-2016 15:45:00,101368.143181,101568.143181
01-Dec-2016 15:50:00,101369.271977,101569.271977
01-Dec-2016 15:55:00,101372.658366,101572.658366
01-Dec-2016 16:00:00,101368.143181,101568.143181
01-Dec-2016 16:05:00,101361.370405,101561.370405
01-Dec-2016 16:10:00,101355.726425,101555.726425
01-Dec-2016 16:15:00,101350.082445,101550.082445
01-Dec-2016 16:20:00,101348.953649,101548.953649
01-Dec-2016 16:25:00,101341.052076,101541.052076
01-Dec-2016 16:30:00,101338.794484,101538.794484
01-Dec-2016 16:35:00,101335.408096,101535.408096
01-Dec-2016 16:40:00,101321.862543,101521.862543
01-Dec-2016 16:45:00,101316.218563,101516.218563
01-Dec-2016 16:50:00,101308.316991,101508.316991
01-Dec-2016 16:55:00,101295.900234,101495.900234
01-Dec-2016 17:00:00,101291.385050,101491.385050
01-Dec-2016 17:05:00,101284.612273,101484.612273
01-Dec-2016 17:10:00,101271.066721,101471.066721
01-Dec-2016 17:15:00,101260.907556,101460.907556
01-Dec-2016 17:20:00,101264.293945,101464.293945
01-Dec-2016 17:25:00,101257.521168,101457.521168
01-Dec-2016 17:30:00,101253.005984,101453.005984
01-Dec-2016 17:35:00,101247.362004,101447.362004
01-Dec-2016 17:40:00,101240.589227,101440.589227
01-Dec-2016 17:45:00,101233.816451,101433.816451
01-Dec-2016 17:50:00,101230.430063,101430.430063
01-Dec-2016 17:55:00,101223.657287,101423.657287
01-Dec-2016 18:00:00,101216.884510,101416.884510
01-Dec-2016 18:05:00,101213.498122,101413.498122
01-Dec-2016 18:10:00,101206.725346,101406.725346
01-Dec-2016 18:15:00,101196.566181,101396.566181
01-Dec-2016 18:20:00,101190.922201,101390.922201
01-Dec-2016 18:25:00,101184.149425,101384.149425
01-Dec-2016 18:30:00,101183.020629,101383.020629
01-Dec-2016 18:35:00,101172.861464,101372.861464
01-Dec-2016 18:40:00,101163.831096,101363.831096
01-Dec-2016 18:45:00,101159.315912,101359.315912
01-Dec-2016 18:50:00,101159.315912,101359.315912
01-Dec-2016 18:55:00,101148.027951,101348.027951
01-Dec-2016 19:00:00,101140.126379,101340.126379
01-Dec-2016 19:05:00,101135.611194,101335.611194
01-Dec-2016 19:10:00,101135.611194,101335.611194
01-Dec-2016 19:15:00,101138.997583,101338.997583
01-Dec-2016 19:20:00,101134.482398,101334.482398
01-Dec-2016 19:25:00,101128.838418,101328.838418
01-Dec-2016 19:30:00,101127.709622,101327.709622
01-Dec-2016 19:35:00,101133.353602,101333.353602
01-Dec-2016 19:40:00,101132.224806,101332.224806
01-Dec-2016 19:45:00,101133.353602,101333.353602
01-Dec-2016 19:50:00,101133.353602,101333.353602
01-Dec-2016 19:55:00,101129.967214,101329.967214
01-Dec-2016 20:00:00,101126.580826,101326.580826
01-Dec-2016 20:05:00,101123.194438,101323.194438
01-Dec-2016 20:10:00,101122.065642,101322.065642
01-Dec-2016 20:15:00,101120.936846,101320.936846
01-Dec-2016 20:20:00,101119.808050,101319.808050
01-Dec-2016 20:25:00,101129.967214,101329.967214
01-Dec-2016 20:30:00,101127.709622,101327.709622
01-Dec-2016 20:35:00,101122.065642,101322.065642
01-Dec-2016 20:40:00,101118.679254,101318.679254
01-Dec-2016 20:45:00,101122.065642,101322.065642
01-Dec-2016 20:50:00,101125.452030,101325.452030
01-Dec-2016 20:55:00,101132.224806,101332.224806
01-Dec-2016 21:00:00,101140.126379,101340.126379
01-Dec-2016 21:05:00,101143.512767,101343.512767
01-Dec-2016 21:10:00,101150.285543,101350.285543
01-Dec-2016 21:15:00,101150.285543,101350.285543
01-Dec-2016 21:20:00,101155.929523,101355.929523
01-Dec-2016 21:25:00,101158.187116,101358.187116
01-Dec-2016 21:30:00,101163.831096,101363.831096
01-Dec-2016 21:35:00,101164.959892,101364.959892
01-Dec-2016 21:40:00,101163.831096,101363.831096
01-Dec-2016 21:45:00,101166.088688,101366.088688
01-Dec-2016 21:50:00,101169.475076,101369.475076
01-Dec-2016 21:55:00,101180.763037,101380.763037
01-Dec-2016 22:00:00,101183.020629,101383.020629
01-Dec-2016 22:05:00,101199.952569,101399.952569
01-Dec-2016 22:10:00,101201.081366,101401.081366
01-Dec-2016 22:15:00,101206.725346,101406.725346
01-Dec-2016 22:20:00,101211.240530,101411.240530
01-Dec-2016 22:25:00,101222.528491,101422.528491
01-Dec-2016 22:30:00,101227.043675,101427.043675
01-Dec-2016 22:35:00,101229.301267,101429.301267
01-Dec-2016 22:40:00,101243.975616,101443.975616
01-Dec-2016 22:45:00,101250.748392,101450.748392
01-Dec-2016 22:50:00,101257.521168,101457.521168
01-Dec-2016 22:55:00,101253.005984,101453.005984
01-Dec-2016 23:00:00,101255.263576,101455.263576
01-Dec-2016 23:05:00,101262.036352,101462.036352
01-Dec-2016 23:10:00,101268.809129,101468.809129
01-Dec-2016 23:15:00,101271.066721,101471.066721
01-Dec-2016 23:20:00,101284.612273,101484.612273
01-Dec-2016 23:25:00,101287.998662,101487.998662
01-Dec-2016 23:30:00,101299.286622,101499.286622
01-Dec-2016 23:35:00,101306.059399,101506.059399
01-Dec-2016 23:40:00,101316.218563,101516.218563
