DateTime,Pressure (Pa),MSLP (Pa)
01-Apr-2016 05:00:00,101360.241609,101560.241609
01-Apr-2016 05:05:00,101353.468833,101553.468833
01-Apr-2016 05:10:00,101343.309668,101543.309668
01-Apr-2016 05:15:00,101346.696056,101546.696056
01-Apr-2016 05:20:00,101341.052076,101541.052076
01-Apr-2016 05:25:00,101339.923280,101539.923280
01-Apr-2016 05:30:00,101330.892912,101530.892912
01-Apr-2016 05:35:00,101326.377727,101526.377727
01-Apr-2016 05:40:00,101321.862543,101521.862543
01-Apr-2016 05:45:00,101315.089767,101515.089767
01-Apr-2016 05:50:00,101312.832175,101512.832175
01-Apr-2016 05:55:00,101312.832175,101512.832175
01-Apr-2016 06:00:00,101312.832175,101512.832175
01-Apr-2016 06:05:00,101319.604951,101519.604951
01-Apr-2016 06:10:00,101315.089767,101515.089767
01-Apr-2016 06:15:00,101306.059399,101506.059399
01-Apr-2016 06:20:00,101295.900234,101495.900234
01-Apr-2016 06:25:00,101280.097089,101480.097089
01-Apr-2016 06:30:00,101272.195517,101472.195517
01-Apr-2016 06:35:00,101258.649964,101458.649964
01-Apr-2016 06:40:00,101251.877188,101451.877188
01-Apr-2016 06:45:00,101251.877188,101451.877188
01-Apr-2016 06:50:00,101255.263576,101455.263576
01-Apr-2016 06:55:00,101263.165148,101463.165148
01-Apr-2016 07:00:00,101259.778760,101459.778760
01-Apr-2016 07:05:00,101251.877188,101451.877188
01-Apr-2016 07:10:00,101242.846820,101442.846820
01-Apr-2016 07:15:00,101234.945247,101434.945247
01-Apr-2016 07:20:00,101229.301267,101429.301267
01-Apr-2016 07:25:00,101218.013306,101418.013306
01-Apr-2016 07:30:00,101207.854142,101407.854142
01-Apr-2016 07:35:00,101211.240530,101411.240530
01-Apr-2016 07:40:00,101204.467754,101404.467754
01-Apr-2016 07:45:00,101213.498122,101413.498122
01-Apr-2016 07:50:00,101215.755714,101415.755714
01-Apr-2016 07:55:00,101211.240530,101411.240530
01-Apr-2016 08:00:00,101204.467754,101404.467754
01-Apr-2016 08:05:00,101213.498122,101413.498122
01-Apr-2016 08:10:00,101224.786083,101424.786083
01-Apr-2016 08:15:00,101224.786083,101424.786083
01-Apr-2016 08:20:00,101211.240530,101411.240530
01-Apr-2016 08:25:00,101198.823773,101398.823773
01-Apr-2016 08:30:00,101197.694977,101397.694977
01-Apr-2016 08:35:00,101211.240530,101411.240530
01-Apr-2016 08:40:00,101207.854142,101407.854142
01-Apr-2016 08:45:00,101207.854142,101407.854142
01-Apr-2016 08:50:00,101216.884510,101416.884510
01-Apr-2016 08:55:00,101205.596550,101405.596550
01-Apr-2016 09:00:00,101206.725346,101406.725346
01-Apr-2016 09:05:00,101203.338958,101403.338958
01-Apr-2016 09:10:00,101199.952569,101399.952569
01-Apr-2016 09:15:00,101207.854142,101407.854142
01-Apr-2016 09:20:00,101211.240530,101411.240530
01-Apr-2016 09:25:00,101211.240530,101411.240530
01-Apr-2016 09:30:00,101207.854142,101407.854142
01-Apr-2016 09:35:00,101210.111734,101410.111734
01-Apr-2016 09:40:00,101207.854142,101407.854142
01-Apr-2016 09:45:00,101204.467754,101404.467754
01-Apr-2016 09:50:00,101201.081366,101401.081366
01-Apr-2016 09:55:00,101197.694977,101397.694977
01-Apr-2016 10:00:00,101201.081366,101401.081366
01-Apr-2016 10:05:00,101207.854142,101407.854142
01-Apr-2016 10:10:00,101218.013306,101418.013306
01-Apr-2016 10:15:00,101230.430063,101430.430063
01-Apr-2016 10:20:00,101228.172471,101428.172471
01-Apr-2016 10:25:00,101229.301267,101429.301267
01-Apr-2016 10:30:00,101234.945247,101434.945247
01-Apr-2016 10:35:00,101233.816451,101433.816451
01-Apr-2016 10:40:00,101241.718023,101441.718023
01-Apr-2016 10:45:00,101248.490800,101448.490800
01-Apr-2016 10:50:00,101251.877188,101451.877188
01-Apr-2016 10:55:00,101248.490800,101448.490800
01-Apr-2016 11:00:00,101251.877188,101451.877188
01-Apr-2016 11:05:00,101251.877188,101451.877188
01-Apr-2016 11:10:00,101251.877188,101451.877188
01-Apr-2016 11:15:00,101257.521168,101457.521168
01-Apr-2016 11:20:00,101259.778760,101459.778760
01-Apr-2016 11:25:00,101272.195517,101472.195517
01-Apr-2016 11:30:00,101272.195517,101472.195517
01-Apr-2016 11:35:00,101268.809129,101468.809129
01-Apr-2016 11:40:00,101272.195517,101472.195517
01-Apr-2016 11:45:00,101281.225885,101481.225885
01-Apr-2016 11:50:00,101287.998662,101487.998662
01-Apr-2016 11:55:00,101278.968293,101478.968293
01-Apr-2016 12:00:00,101282.354681,101482.354681
01-Apr-2016 12:05:00,101282.354681,101482.354681
01-Apr-2016 12:10:00,101275.581905,101475.581905
01-Apr-2016 12:15:00,101274.453109,101474.453109
01-Apr-2016 12:20:00,101285.741070,101485.741070
01-Apr-2016 12:25:00,101285.741070,101485.741070
01-Apr-2016 12:30:00,101291.385050,101491.385050
01-Apr-2016 12:35:00,101306.059399,101506.059399
01-Apr-2016 12:40:00,101315.089767,101515.089767
