DateTime,Pressure (Pa),MSLP (Pa)
01-Aug-2016 05:00:00,101824.176787,102024.176787
01-Aug-2016 05:05:00,101816.275215,102016.275215
01-Aug-2016 05:10:00,101814.017623,102014.017623
01-Aug-2016 05:15:00,101809.502438,102009.502438
01-Aug-2016 05:20:00,101803.858458,102003.858458
01-Aug-2016 05:25:00,101800.472070,102000.472070
01-Aug-2016 05:30:00,101803.858458,102003.858458
01-Aug-2016 05:35:00,101802.729662,102002.729662
01-Aug-2016 05:40:00,101797.085682,101997.085682
01-Aug-2016 05:45:00,101791.441701,101991.441701
01-Aug-2016 05:50:00,101797.085682,101997.085682
01-Aug-2016 05:55:00,101803.858458,102003.858458
01-Aug-2016 06:00:00,101806.116050,102006.116050
01-Aug-2016 06:05:00,101807.244846,102007.244846
01-Aug-2016 06:10:00,101807.244846,102007.244846
01-Aug-2016 06:15:00,101812.888826,102012.888826
01-Aug-2016 06:20:00,101823.047991,102023.047991
01-Aug-2016 06:25:00,101826.434379,102026.434379
01-Aug-2016 06:30:00,101819.661603,102019.661603
01-Aug-2016 06:35:00,101810.631234,102010.631234
01-Aug-2016 06:40:00,101806.116050,102006.116050
01-Aug-2016 06:45:00,101802.729662,102002.729662
01-Aug-2016 06:50:00,101799.343274,101999.343274
01-Aug-2016 06:55:00,101791.441701,101991.441701
01-Aug-2016 07:00:00,101783.540129,101983.540129
01-Aug-2016 07:05:00,101779.024945,101979.024945
01-Aug-2016 07:10:00,101776.767353,101976.767353
01-Aug-2016 07:15:00,101782.411333,101982.411333
01-Aug-2016 07:20:00,101785.797721,101985.797721
01-Aug-2016 07:25:00,101782.411333,101982.411333
01-Aug-2016 07:30:00,101771.123372,101971.123372
01-Aug-2016 07:35:00,101773.380965,101973.380965
01-Aug-2016 07:40:00,101769.994576,101969.994576
01-Aug-2016 07:45:00,101762.093004,101962.093004
01-Aug-2016 07:50:00,101762.093004,101962.093004
01-Aug-2016 07:55:00,101755.320228,101955.320228
01-Aug-2016 08:00:00,101756.449024,101956.449024
01-Aug-2016 08:05:00,101762.093004,101962.093004
01-Aug-2016 08:10:00,101764.350596,101964.350596
01-Aug-2016 08:15:00,101757.577820,101957.577820
01-Aug-2016 08:20:00,101751.933840,101951.933840
01-Aug-2016 08:25:00,101745.161063,101945.161063
01-Aug-2016 08:30:00,101732.744307,101932.744307
01-Aug-2016 08:35:00,101722.585142,101922.585142
01-Aug-2016 08:40:00,101724.842734,101924.842734
01-Aug-2016 08:45:00,101729.357919,101929.357919
01-Aug-2016 08:50:00,101724.842734,101924.842734
01-Aug-2016 08:55:00,101724.842734,101924.842734
01-Aug-2016 09:00:00,101728.229122,101928.229122
01-Aug-2016 09:05:00,101725.971530,101925.971530
01-Aug-2016 09:10:00,101728.229122,101928.229122
01-Aug-2016 09:15:00,101724.842734,101924.842734
01-Aug-2016 09:20:00,101718.069958,101918.069958
01-Aug-2016 09:25:00,101711.297182,101911.297182
01-Aug-2016 09:30:00,101721.456346,101921.456346
01-Aug-2016 09:35:00,101721.456346,101921.456346
01-Aug-2016 09:40:00,101729.357919,101929.357919
01-Aug-2016 09:45:00,101729.357919,101929.357919
01-Aug-2016 09:50:00,101724.842734,101924.842734
01-Aug-2016 09:55:00,101724.842734,101924.842734
01-Aug-2016 10:00:00,101728.229122,101928.229122
01-Aug-2016 10:05:00,101725.971530,101925.971530
01-Aug-2016 10:10:00,101722.585142,101922.585142
01-Aug-2016 10:15:00,101721.456346,101921.456346
01-Aug-2016 10:20:00,101724.842734,101924.842734
01-Aug-2016 10:25:00,101727.100326,101927.100326
01-Aug-2016 10:30:00,101730.486715,101930.486715
01-Aug-2016 10:35:00,101732.744307,101932.744307
01-Aug-2016 10:40:00,101732.744307,101932.744307
01-Aug-2016 10:45:00,101725.971530,101925.971530
01-Aug-2016 10:50:00,101728.229122,101928.229122
01-Aug-2016 10:55:00,101730.486715,101930.486715
01-Aug-2016 11:00:00,101731.615511,101931.615511
01-Aug-2016 11:05:00,101729.357919,101929.357919
01-Aug-2016 11:10:00,101729.357919,101929.357919
01-Aug-2016 11:15:00,101731.615511,101931.615511
01-Aug-2016 11:20:00,101735.001899,101935.001899
01-Aug-2016 11:25:00,101736.130695,101936.130695
01-Aug-2016 11:30:00,101739.517083,101939.517083
01-Aug-2016 11:35:00,101741.774675,101941.774675
01-Aug-2016 11:40:00,101744.032267,101944.032267
01-Aug-2016 11:45:00,101736.130695,101936.130695
01-Aug-2016 11:50:00,101738.388287,101938.388287
01-Aug-2016 11:55:00,101747.418655,101947.418655
01-Aug-2016 12:00:00,101749.676247,101949.676247
01-Aug-2016 12:05:00,101742.903471,101942.903471
01-Aug-2016 12:10:00,101739.517083,101939.517083
01-Aug-2016 12:15:00,101742.903471,101942.903471
01-Aug-2016 12:20:00,101749.676247,101949.676247
01-Aug-2016 12:25:00,101751.933840,101951.933840
01-Aug-2016 12:30:00,101755.320228,101955.320228
01-Aug-2016 12:35:00,101757.577820,101957.577820
01-Aug-2016 12:40:00,101757.577820,101957.577820
01-Aug-2016 12:45:00,101759.835412,101959.835412
01-Aug-2016 12:50:00,101762.093004,101962.093004
01-Aug-2016 12:55:00,101758.706616,101958.706616
01-Aug-2016 13:00:00,101749.676247,101949.676247
